,company name,job_title,Location,Estimated salary,posted,rating,link
10,DSMATICS TECHNOLOGY SOLUTIONS PVT. LTD.,Data Scientist,Pune,₹3L - ₹10L (Employer Est.),6d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5b57ed81&cb=1681829886224&jobListingId=1008583509397&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-10de3dc817e28af1-
11,Infosys,Data Science,Bangalore,₹3L - ₹9L (Glassdoor Est.),21d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=112&ao=1110586&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_83be7938&cb=1681829886225&jobListingId=1008553644606&cpc=C4A69CCDBB3B9599&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-892518c414e536db--6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MEy3-TDTKIO3vOAnPNI9rvuER6vES52YFRK-7XFeQSKpXy8WjaV1K4bHzM1eyRGpJYd3RHfbjd2jBAAWe8aCdDCXqsO8eaLz7k2DvSZSVGvOSAihx9E7KZ3WYCScMIQCzLR69RCNSOf_oJqBUETu3nE1QJ6KuadYjTjBRlxhQw-4dag3GLtAXKVyn83Mm-I8GA97zLVRDDGZplT-tqUEOYSoJeTQsuD7lX13G3O8F8WzXTpG8WSGXIgQ71R4A1SK5FGrW1q85fh2A9OM31Z6vxp96ID99A3MjjYVX0NXSbbhhHOQMGG1yq2uxfG28MHjfvez5m6fY1S3luQuuylRjArPA0ilLb8OnscaXhThA7m_qFsJKzuu3uz95OKGrZGMMygszB5kfwPlk35wDXy9UfilLEjIuisHXw3QC6PPZ3CTuX7_74yKwtfwuu12n1vlbBPlJ0aYYMtzUo877QxvDzSym2OcVRDXGLQ0zysI0ZQf11xw4Prr8OAVIBlQeyfkWHjxCxavhDTUtv2P9dHWGt69Lo4dLpWgklFY-rK_lTn28TguDbgLR8U%3D
12,Indigo Airlines,Data Analysis and Operations Research,Gurgaon,₹4L - ₹7L (Glassdoor Est.),3d,3.5,https://www.glassdoor.co.in/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_4190026c&cb=1681829886225&jobListingId=1008588928617&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-22ad0293f80ddd6e-
13,Eoraa & Co.,Data Scientist,New Delhi,₹2L - ₹8L (Glassdoor Est.),30d+,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_20bf4367&cb=1681829886225&jobListingId=1007788365685&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-a8004d4d60d6a554-
14,ACE Talent Consulting,Data Scientist,Noida,₹3L - ₹8L (Glassdoor Est.),30d+,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2bd5cc93&cb=1681829886225&jobListingId=1008381329342&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-1fa12bd52b7fe7b8-
15,Trading Technologies,Data Analytics,Ahmedabad,Unrevealed,3d,4.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_fc897142&cb=1681829886225&jobListingId=1008589988235&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-8632dc142788bd9d-
16,Domains Analytics,Data Science Intern,Chandigarh,₹8T - ₹23T (Employer Est.),25d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3058d43a&cb=1681829886225&jobListingId=1008546745639&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-49b8012633a8e4cb-
17,RadiusAI,Data Scientist,Karnataka,Unrevealed,5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6dbb5e27&cb=1681829886225&jobListingId=1008584374059&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-809477051db3d113-
18,ALB Technologies Pvt. Ltd.,Data Analyst/Scientist,Cochin,₹40T - ₹80T (Employer Est.),18d,2.5,https://www.glassdoor.co.in/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3a1e286f&cb=1681829886226&jobListingId=1008559822123&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-e48e2c37a629d933-
19,HIRINGNINJA,Data scientist,Bangalore,₹12L - ₹20L (Employer Est.),5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_30ab9781&cb=1681829886226&jobListingId=1008586185687&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-5aa7f0bb03efffc4-
