,company name,job_title,Location,Estimated salary,posted,rating,link
241,TrueFan,Machine Learning Intern (GANs),Gurgaon,₹10T - ₹30T (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=902&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3af02beb&cb=1681830061530&jobListingId=1008592100780&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-bf096c54ea8642f5-
242,Getinz,Data Scientist & Analytics - GWTZ - GGN,Gurgaon,₹10L - ₹15L (Employer Est.),10d,4.4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=903&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_6197a0b2&cb=1681830061530&jobListingId=1008576880822&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-4e31434c9d5173a3-
243,Raptor Supplies Limited,Data Scientist,New Delhi,₹6L - ₹25L (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=904&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4374f592&cb=1681830061530&jobListingId=1008592457678&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-649a18a05f90567b-
244,Aventior,Data Scientist,Pune,₹5L - ₹10L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=905&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ab3e346f&cb=1681830061531&jobListingId=1008588942115&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-f7a6e8acc5758f99-
245,DSMATICS TECHNOLOGY SOLUTIONS PVT. LTD.,Data Scientist,Pune,₹3L - ₹10L (Employer Est.),6d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=906&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_af65d242&cb=1681830061531&jobListingId=1008583509397&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-10de3dc817e28af1-
246,DataStunt,Data Scientist,Noida,₹10T - ₹40T (Employer Est.),17d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=907&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2ed0a067&cb=1681830061531&jobListingId=1008563019223&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-67cdf6093e3cf330-
247,RadiusAI,Data Scientist,Karnataka,Unrevealed,5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=908&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_16ae4b1d&cb=1681830061531&jobListingId=1008584374059&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-809477051db3d113-
248,Kwalee,Machine Learning Engineer,Bangalore,₹6L - ₹8L (Glassdoor Est.),3d,3.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=909&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_3c7e4f0a&cb=1681830061531&jobListingId=1008589186402&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-c84494df52212457-
249,Episeio business solutions,Data Scientist,India,₹20L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=910&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6ebfb443&cb=1681830061531&jobListingId=1008588924121&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-ec45200509d2a943-
250,HIRINGNINJA,Data scientist,Bangalore,₹12L - ₹20L (Employer Est.),5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=911&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_536c39e7&cb=1681830061531&jobListingId=1008586185687&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-5aa7f0bb03efffc4-
251,Eoraa & Co.,Data Scientist,New Delhi,₹2L - ₹8L (Glassdoor Est.),30d+,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=912&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_b2587c78&cb=1681830061532&jobListingId=1007788365685&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-a8004d4d60d6a554-
252,Domains Analytics,Data Science Intern,Chandigarh,₹8T - ₹23T (Employer Est.),25d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=913&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_88427d5a&cb=1681830061532&jobListingId=1008546745639&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-49b8012633a8e4cb-
253,Iris software,Data Scientist,Noida,₹6L - ₹7L (Glassdoor Est.),30d+,4.4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=914&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_1f2187f1&cb=1681830061532&jobListingId=1008528595392&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-befb9f3c90b653e7-
254,Aidetic Software Pvt Ltd,Data Scientist,Bangalore,₹8L - ₹15L (Employer Est.),24h,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=915&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ae3fcaf7&cb=1681830061532&jobListingId=1008594717226&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-2c9a8c61a79d6111-
255,H.S. Corporation,Machine Learning Intern,Bharatpur,₹10T - ₹15T (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=916&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_86705147&cb=1681830061532&jobListingId=1008592293652&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-decbd1639365820b-
256,Lenskart,Data Scientist,Gurgaon,₹3L - ₹6L (Glassdoor Est.),30d+,4.1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=917&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_380c4ff7&cb=1681830061532&jobListingId=1007285294048&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-13027c95012596b8-
257,Flipped.ai,Machine Learning Engineer,Bangalore,₹8L - ₹12L (Employer Est.),30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=918&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d5c26819&cb=1681830061532&jobListingId=1008404163994&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-63b5e671e9ff8b24-
258,Mercedes-Benz Research and Development India Private Limited,Data and Analytics Engineer,Bangalore,₹7L - ₹7L (Glassdoor Est.),5d,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=919&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_011e1691&cb=1681830061533&jobListingId=1008584704633&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-041e8386cab1b588-
259,Mastercard,Data Scientist,Gurgaon,₹2L - ₹2L (Glassdoor Est.),8d,4.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=920&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_33c22b1d&cb=1681830061533&jobListingId=1008579260859&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-1530d7e56d2655f4-
260,Puneri Pattern,Data Scientist,Maharashtra,Unrevealed,30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=921&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_cf3b7ff2&cb=1681830061533&jobListingId=1008518765011&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-ebb1fe9d4e0a9467-
261,Transorg Analytics,Data Science Specialist,Gurgaon,₹8L - ₹10L (Glassdoor Est.),30d+,2.8,https://www.glassdoor.co.in/partner/jobListing.htm?pos=922&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_8e3c7479&cb=1681830061533&jobListingId=1008430558926&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-a437407f123ce746-
262,Agrex Technologies Private Limited,Deep Learning Intern,India,₹15T - ₹30T (Employer Est.),13d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=923&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_02035f9f&cb=1681830061533&jobListingId=1008570569836&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-f5ca46573937728c-
263,Aidaptive,Machine Learning Engineer,India,Unrevealed,19d,4.7,https://www.glassdoor.co.in/partner/jobListing.htm?pos=924&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_cf53057f&cb=1681830061534&jobListingId=1008557080891&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-237e8a4133b9b650-
264,iCRC,Data Scientist,Noida,₹6L - ₹10L (Glassdoor Est.),4d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=925&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_9be4a35c&cb=1681830061534&jobListingId=1008586752495&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-575f5e7cbd8797c2-
265,PayU,Data Scientist,Bangalore,₹5L - ₹10L (Glassdoor Est.),26d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=926&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4221670d&cb=1681830061534&jobListingId=1008545396546&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-a3c43693786817ea-
266,Terminal Trend Technologies,Data Scientist,Ahmedabad,₹8L - ₹10L (Employer Est.),7d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=927&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a797b98a&cb=1681830061534&jobListingId=1008581005896&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-614e163d4ee151d9-
267,Navig8 Group,Data Scientist,Mumbai,₹4L - ₹8L (Glassdoor Est.),30d+,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=928&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b2a3ea24&cb=1681830061534&jobListingId=1008485230849&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-99cb33e6bd4f6e92-
268,Ericsson,Data Scientist,Noida,₹5L - ₹9L (Glassdoor Est.),6d,4.1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=929&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&cs=1_e95c5fea&cb=1681830061534&jobListingId=1008583788494&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-729e954093be38be-
269,Serendipity Corporate Services,Vacancy for Data Scientist,Pune,₹30L (Employer Est.),18d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=930&ao=1136043&s=58&guid=0000018794e224868cb4275413f8ada1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_514bc8f4&cb=1681830061534&jobListingId=1008560302651&jrtk=3-0-1guae4952khrl801-1guae4962i9hv800-086bc21655763e42-
270,GoTo,Staff Machine Learning Engineer,Bangalore,₹2L - ₹8L (Glassdoor Est.),28d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1001&ao=1110586&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_fdf43587&cb=1681830080453&jobListingId=1008540696660&cpc=280AB1FAEDD8D536&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-b7360f8e72a84d41--6NYlbfkN0DXrBR656PqShB4nd9ExliYcIGoAa-Cw4zASH8sJAtKR0FvrpJ2QL2iqpKuANXEDxSPWygzAbdd92PIgVmTna7S1L961VIFwuG1g1nhjSFHk2UBaHpjLh1ewUeAOHrveNDhiAl8VdV9kk58fR0WqtKSB012CZN286GWtNNhQFU20NGdd9mBxfjBiuIeCq_cBe2oYMo4xUlN_Dvz3pAQ9ykA_lH-xXjQBJxqLl_zTOjXqcY1v2pjBqLuTFCBBo5z6ut7igf9wunRNdAX9J6RGxFGP_Cp1LL2GsnJQ1JVrdzirWvZzCV0WZQ0Bq_ljYnht9RwfGm2YNW2R_vW8f81wUczDC5RmKyvWu6VQhR3bo1nom8zYVt5u-GOpYZLT_Fq4P9mExSo42VK06iReAH7iXeKOMBvrK_xJyjYT_AfU70AZM_G8nfXDKJgI6S2mYr2QsjEkLk42WaRaZKu8oG1_ws2fP5SinO3urcvIvp_RxkhBKzasI-eBwiX12B1-loq52UmtvTXExuEyG9k90HwzZiOqydeG0Bow6sVI_3o2dnbRBFsZaXU4vfqZHDq-6QQg7ISC95rGj8qvLdAd-lVcuI6YZuwFZyojf9yKUNuPEyAyeMFWkh6ISa4sDHw3X6DM7Fv-GvtHL9gQ9zGjtXIGh3la_zVYnrfHOf7cad2mx_ZG2hJfoP_ou4IUrYywsN3SyI4EzfhtNiTPYx3C3TZV8EkP_Sa0xe8qxwJsqY0lIN9u4PaUR8QCCwZDDwy2uoUqeoGqM15QQj1aRzy4yL9zq9WCPaeKx1ZZCjnF8yLq7xABt5sf7PIARN1NRmOS8T7v2ppVWy-NZev4mP8JAxbXBM5rWWJCj70xPNIIHqVDgNMgfz-I6QuZYr8bXYj_RjBMQYm1FJyaHi_WV8r9KyXRYcLYPjgV75LO92FQyGCRWmK2-IBLBsfL83l2MFumCyfLF9xgy_-WHcPGA8Zx6YO6iQctSjzzodBD53GOdKfUN8Qx9adDcfNwz6WyysbixTnhCUpLxzyQkwn_HBsz2ffiW5FkRBLOeJq8mP3v7R4P2Tclig7yMDsSe2NQonv_9Ead71a1NNS8L3FHQ%3D%3D
271,TrueFan,Machine Learning Intern (GANs),Gurgaon,₹10T - ₹30T (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1002&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2d104dee&cb=1681830080454&jobListingId=1008592100780&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-bf096c54ea8642f5-
272,Aventior,Data Scientist,Pune,₹5L - ₹10L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1003&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_31722209&cb=1681830080454&jobListingId=1008588942115&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-f7a6e8acc5758f99-
273,Raptor Supplies Limited,Data Scientist,New Delhi,₹6L - ₹25L (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1004&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f3c5758b&cb=1681830080454&jobListingId=1008592457678&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-649a18a05f90567b-
274,Getinz,Data Scientist & Analytics - GWTZ - GGN,Gurgaon,₹10L - ₹15L (Employer Est.),10d,4.4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1005&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_5c8a50c8&cb=1681830080454&jobListingId=1008576880822&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-4e31434c9d5173a3-
275,DSMATICS TECHNOLOGY SOLUTIONS PVT. LTD.,Data Scientist,Pune,₹3L - ₹10L (Employer Est.),6d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1006&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1fd4525b&cb=1681830080455&jobListingId=1008583509397&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-10de3dc817e28af1-
276,RadiusAI,Data Scientist,Karnataka,Unrevealed,5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1007&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c0cacbd8&cb=1681830080455&jobListingId=1008584374059&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-809477051db3d113-
277,DataStunt,Data Scientist,Noida,₹10T - ₹40T (Employer Est.),17d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1008&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_11460a87&cb=1681830080455&jobListingId=1008563019223&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-67cdf6093e3cf330-
278,Kwalee,Machine Learning Engineer,Bangalore,₹6L - ₹8L (Glassdoor Est.),3d,3.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1009&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_653de536&cb=1681830080455&jobListingId=1008589186402&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-c84494df52212457-
279,HIRINGNINJA,Data scientist,Bangalore,₹12L - ₹20L (Employer Est.),5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1010&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_46070578&cb=1681830080455&jobListingId=1008586185687&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-5aa7f0bb03efffc4-
280,Episeio business solutions,Data Scientist,India,₹20L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1011&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7bd488dc&cb=1681830080455&jobListingId=1008588924121&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-ec45200509d2a943-
281,Iris software,Data Scientist,Noida,₹6L - ₹7L (Glassdoor Est.),30d+,4.4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1012&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_76c65a74&cb=1681830080455&jobListingId=1008528595392&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-befb9f3c90b653e7-
282,Eoraa & Co.,Data Scientist,New Delhi,₹2L - ₹8L (Glassdoor Est.),30d+,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1013&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_4ec16ac2&cb=1681830080455&jobListingId=1007788365685&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-a8004d4d60d6a554-
283,Mastercard,Data Scientist,Gurgaon,₹2L - ₹2L (Glassdoor Est.),8d,4.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1014&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_fd741084&cb=1681830080455&jobListingId=1008579260859&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-1530d7e56d2655f4-
284,Lenskart,Data Scientist,Gurgaon,₹3L - ₹6L (Glassdoor Est.),30d+,4.1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1015&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a2405991&cb=1681830080455&jobListingId=1007285294048&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-13027c95012596b8-
285,Puneri Pattern,Data Scientist,Maharashtra,Unrevealed,30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1016&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_c009a2ab&cb=1681830080455&jobListingId=1008518765011&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-ebb1fe9d4e0a9467-
286,Aidetic Software Pvt Ltd,Data Scientist,Bangalore,₹8L - ₹15L (Employer Est.),24h,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1017&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_93223a8d&cb=1681830080455&jobListingId=1008594717226&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-2c9a8c61a79d6111-
287,H.S. Corporation,Machine Learning Intern,Bharatpur,₹10T - ₹15T (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1018&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_48c66ade&cb=1681830080455&jobListingId=1008592293652&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-decbd1639365820b-
288,Flipped.ai,Machine Learning Engineer,Bangalore,₹8L - ₹12L (Employer Est.),30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1019&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8e0a98bf&cb=1681830080456&jobListingId=1008404163994&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-63b5e671e9ff8b24-
289,PayU,Data Scientist,Bangalore,₹5L - ₹10L (Glassdoor Est.),26d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1020&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d86d716b&cb=1681830080456&jobListingId=1008545396546&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-a3c43693786817ea-
290,iCRC,Data Scientist,Noida,₹6L - ₹10L (Glassdoor Est.),4d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1021&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_d8fee8a6&cb=1681830080456&jobListingId=1008586752495&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-575f5e7cbd8797c2-
291,Aidaptive,Machine Learning Engineer,India,Unrevealed,19d,4.7,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1022&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_551f1319&cb=1681830080456&jobListingId=1008557080891&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-237e8a4133b9b650-
292,Domains Analytics,Data Science Intern,Chandigarh,₹8T - ₹23T (Employer Est.),25d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1023&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_46f446c3&cb=1681830080456&jobListingId=1008546745639&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-49b8012633a8e4cb-
293,Agrex Technologies Private Limited,Deep Learning Intern,India,₹15T - ₹30T (Employer Est.),13d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1024&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_86eb9228&cb=1681830080456&jobListingId=1008570569836&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-f5ca46573937728c-
294,Mercedes-Benz Research and Development India Private Limited,Data and Analytics Engineer,Bangalore,₹7L - ₹7L (Glassdoor Est.),5d,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1025&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_9d24607a&cb=1681830080456&jobListingId=1008584704633&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-041e8386cab1b588-
295,Transorg Analytics,Data Science Specialist,Gurgaon,₹8L - ₹10L (Glassdoor Est.),30d+,2.8,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1026&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_9faa72f1&cb=1681830080456&jobListingId=1008430558926&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-a437407f123ce746-
296,Terminal Trend Technologies,Data Scientist,Ahmedabad,₹8L - ₹10L (Employer Est.),7d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1027&ao=1136043&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_45aa74e1&cb=1681830080456&jobListingId=1008581005896&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-614e163d4ee151d9-
297,Infosys,Data Science,Bangalore,₹3L - ₹9L (Glassdoor Est.),21d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1028&ao=1110586&s=58&guid=0000018794e26e629f3dd548a5330166&src=GD_JOB_AD&t=SR&vt=w&cs=1_8d6330cc&cb=1681830080456&jobListingId=1008553644606&cpc=C4A69CCDBB3B9599&jrtk=3-0-1guae4rl52i7c001-1guae4rm0i6iv800-892518c414e536db--6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MEy3-TDTKIO3vOAnPNI9rvuER6vES52YFRK-7XFeQSKpXy8WjaV1K4bHzM1eyRGpJYd3RHfbjd2jBAAWe8aCdDCXqsO8eaLz7k2DvSZSVGvOSAihx9E7KZ3WYCScMIQCzLR69RCNSOf_oJqBUETu3nFboMNh4eekKk7ZZuOoVMGi6HuH1zoKffXjOBvK1kNOnlLKhHfhlEY6Qt2FcoIR3jQPy80xDV2sK04EVWWtscuUByOX-qduEmnHgQ4KXAZc6DMz1-Xc5tBPEGJPIpHbK3_2PQiBtEqpFyy4dFNOSONtr0Wrth4eCj2NnCGGLt-coT5402J3Zup_9rQFc_mCAFPvORmku6HzJjb7EaJuaCq6U_Yxzp7yXKFBnUfwRP88OVfrxAx14ebMWBBMVEgg1dEcVdKJwMy64ZyeS8Kptx513GLHQWIAW30X212uRHhVJCQO1Vk6NAY4YMEq5y-plr7rqnbDRgsmbj2hzKEOwcpvsfeHFZ-tDA93roeNXn3G-9H0_t_3M849WvYm1s5zPU7xECC6hdtLkc61M2ZX-B46QWbEyD8076I%3D
